Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Na,Na,Sn,Br,Br,Br,Br,Li
Na,Na,Sn,Br,Br,Br,Br,Zn
Na,Na,Sn,Br,Br,Br,Br,K
Na,Na,Sn,Br,Br,Br,Br,Na
Na,Na,Sn,Br,Br,Br,Br,Al
Na,Na,Sn,Br,Br,Br,Br,Ca
Na,Na,Sn,Br,Br,Br,Br,Mg
Na,Na,Sn,Br,Br,Br,Br,F
K,K,Sn,Br,Br,Br,Br,Li
K,K,Sn,Br,Br,Br,Br,Zn
K,K,Sn,Br,Br,Br,Br,K
K,K,Sn,Br,Br,Br,Br,Na
K,K,Sn,Br,Br,Br,Br,Al
K,K,Sn,Br,Br,Br,Br,Ca
K,K,Sn,Br,Br,Br,Br,Mg
K,K,Sn,Br,Br,Br,Br,F
Rb,Rb,Sn,Br,Br,Br,Br,Li
Rb,Rb,Sn,Br,Br,Br,Br,Zn
Rb,Rb,Sn,Br,Br,Br,Br,K
Rb,Rb,Sn,Br,Br,Br,Br,Na
Rb,Rb,Sn,Br,Br,Br,Br,Al
Rb,Rb,Sn,Br,Br,Br,Br,Ca
