,unstable_Element_1,unstable_Element_2,unstable_Element_3,unstable_Element_4,unstable_Element_5,unstable_Element_6,unstable_Element_7,unstable_ion
23,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
24,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
25,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
26,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
27,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
28,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
29,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
30,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
31,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
32,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
33,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
34,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
35,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
36,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
37,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
38,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
39,0.35965994,0.35965994,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
40,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
41,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
42,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
43,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
44,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
45,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
46,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
47,0.42468417,0.42468417,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
48,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
49,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
50,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
51,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
52,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
53,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
54,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
55,0.3616813,0.3616813,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
56,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
57,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
58,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
59,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
60,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
61,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
62,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
63,0.28220642,0.28220642,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
64,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
65,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
66,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
67,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
68,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
69,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
70,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
71,0.29619506,0.29619506,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
72,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
73,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
74,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
75,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
76,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
77,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
78,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
79,0.35965994,0.35965994,0.28992674,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
80,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
81,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
82,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
83,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
84,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
85,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
86,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
87,0.42468417,0.42468417,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
88,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
89,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
90,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
91,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
92,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
93,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
94,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
95,0.3616813,0.3616813,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
96,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
97,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
98,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
99,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
100,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
101,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
102,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
103,0.28220642,0.28220642,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
104,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
105,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
106,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
107,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
108,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
109,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
110,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
