,photo_A1,photo_A2,photo_B,photo_X1,photo_X2,photo_X3,photo_X4
199,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
200,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
201,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
202,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
203,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
204,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
205,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
206,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
207,0.21369803,0.21369803,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
208,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
209,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
210,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
211,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
212,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
213,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
214,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
215,0.24808288,0.24808288,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
216,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
217,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
218,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
219,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
220,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
221,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
222,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
223,0.24078286,0.24078286,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
224,0.30728492,0.30728492,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
225,0.30728492,0.30728492,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
226,0.30728492,0.30728492,0.14878257,0.14601703,0.14601703,0.14601703,0.14601703
